1048576,849846.2526
1048576,699641.1638
1048576,852602.0162
1048576,853058.4219
1048576,842208.0718
10485760,4659878.003
10485760,3323686.835
10485760,4439847.079
10485760,3454717.976
10485760,3587634.933
104857600,8126132.616
104857600,8181620.209
104857600,8030095.705
104857600,8301778.7
104857600,7494268.39
1048576000,9042949.768
1048576000,9216575.199
1048576000,9204594.572
1048576000,8503456.845
1048576000,8535575.728
10485760000,9691886.177
10485760000,9847441.071
10485760000,9791208.384
10485760000,10187421.65
10485760000,10200794.76
